,group id,BrainID,roi id,Count,Total Area,Average Size,%Area,Perim.,ROI um^2,ROI mm^2,#Cell Density/mm^2,Genotype,Sex,Treatment
183,I,8,LHA,33,1552.7995,47.0875,0.381,23.6015,415833.24,0.41583324,81.12583903,AA,F,Chronic
184,I,8,MH,4.333333333,145.2156667,33.35633333,0.335,21.05766667,43642.293,0.043642293,99.75775996,AA,F,Chronic
185,I,8,PAG,237.6666667,10172.72433,42.78066667,0.836333333,22.99066667,1226220.703,1.226220703,195.2568681,AA,F,Chronic
186,I,8,PALv,13.66666667,473.6293333,33.97166667,0.082333333,20.34066667,576575.72,0.57657572,24.83060138,AA,F,Chronic
187,I,8,PL,29,1211.8315,41.48,0.5765,22.528,208688.266,0.208688266,139.0347625,AA,F,Chronic
188,I,8,PVT,45.66666667,2169.605667,47.13666667,0.944666667,23.101,240755.8137,0.240755814,202.652835,AA,F,Chronic
189,I,8,SNc,27.33333333,1309.786,47.85933333,0.423666667,24.303,312999.068,0.312999068,89.97985974,AA,F,Chronic
190,I,8,SNr,26.33333333,1037.643333,35.88,0.217,20.22033333,484041.524,0.484041524,55.06122927,AA,F,Chronic
191,I,8,VTA,14.33333333,601.5783333,40.13733333,0.315,21.47566667,208820.9493,0.208820949,74.70577087,AA,F,Chronic
192,I,9,ACAd,25.5,1094.035,43.8625,0.835,24.3315,129725.5958,0.129725596,192.5359158,AA,F,Chronic
193,I,9,ACAv,37.66666667,1620.683333,43.13366667,0.964666667,23.129,170399.4977,0.170399498,224.6035947,AA,F,Chronic
194,I,9,ACB,26.33333333,924.7023333,34.795,0.093333333,20.53533333,989661.3413,0.989661341,26.69989901,AA,F,Chronic
195,I,9,AId,6.666666667,241.483,32.88033333,0.150333333,19.82766667,161263.3983,0.161263398,40.59927666,AA,F,Chronic
196,I,9,AIv,18.66666667,922.7393333,49.69733333,0.258666667,23.89566667,358227.9683,0.358227968,52.30208114,AA,F,Chronic
197,I,9,BLA,7,306.2466667,51.024,0.260666667,23.55566667,121497.935,0.121497935,61.0066696,AA,F,Chronic
198,I,9,BST,32.66666667,1090.318667,33.60666667,0.34,19.39833333,338278.3153,0.338278315,104.301302,AA,F,Chronic
199,I,9,CEA,1.333333333,58.949,44.212,0.020666667,25.678,295422.983,0.295422983,4.707158641,AA,F,Chronic
200,I,9,CLA,7.333333333,455.4796667,61.08733333,0.848333333,27.41566667,54897.092,0.054897092,140.5460444,AA,F,Chronic
201,I,9,CP,143.25,5392.6265,35.6085,0.2645,21.531,1816373.967,1.816373967,70.50425477,AA,F,Chronic
202,I,9,DG,12.66666667,455.7753333,35.304,0.414666667,19.566,107942.571,0.107942571,117.0734153,AA,F,Chronic
203,I,9,GPe,2.5,75.4835,41.516,0.025,20.764,303052.5485,0.303052548,7.629302871,AA,F,Chronic
204,I,9,GPi,1,45.29,45.29,0.028,23.245,172296.046,0.172296046,6.02596351,AA,F,Chronic
205,I,9,ILA,20.5,759.7875,36.034,0.67,22.3725,121336.277,0.121336277,178.5295431,AA,F,Chronic
206,I,9,LH,0.5,12.94,25.88,0.0295,15.902,35686.352,0.035686352,11.382528,AA,F,Chronic
207,I,9,LHA,19.33333333,654.1886667,33.10066667,0.155666667,19.479,448866.893,0.448866893,45.39947999,AA,F,Chronic
208,I,9,MH,2.333333333,76.202,33.42833333,0.176,20.81466667,43642.293,0.043642293,54.29445752,AA,F,Chronic
209,I,9,PAG,240.3333333,10112.248,41.549,0.827333333,22.284,1226220.703,1.226220703,196.1180952,AA,F,Chronic
210,I,9,PALv,18.33333333,724.2823333,32.08866667,0.108666667,20.26666667,576575.72,0.57657572,27.56849787,AA,F,Chronic
211,I,9,PL,15,524.194,34.946,0.282,21.386,186118.458,0.186118458,80.59383342,AA,F,Chronic
212,I,9,PVT,44.66666667,2099.154667,47.94133333,0.903333333,23.61333333,240755.8137,0.240755814,188.588396,AA,F,Chronic
213,I,9,SNc,18.33333333,797.33,40.86166667,0.260333333,21.88333333,312999.068,0.312999068,61.26110685,AA,F,Chronic
214,I,9,SNr,2.666666667,73.208,27.453,0.017333333,17.6355,454688.3127,0.454688313,6.2508422,AA,F,Chronic
215,I,9,VTA,26.66666667,1039.235,36.54966667,0.53,20.373,208820.9493,0.208820949,136.813148,AA,F,Chronic
216,I,10,ACAd,44.25,1803.02275,40.56525,1.39,22.85375,129725.5958,0.129725596,342.9673848,GG,F,Chronic
217,I,10,ACAv,66.66666667,2693.613333,40.26866667,1.608,22.147,170399.4977,0.170399498,397.4654928,GG,F,Chronic
